,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
56,0,0,0,0,0,0,0.0,20231231,014790,HL D&I,0.0,0.0,0.0,0.0,0.0,0.0
57,0,0,0,0,0,0,0.0,20231231,003580,HLB글로벌,0.0,0.0,0.0,0.0,0.0,0.0
58,0,0,0,0,0,0,0.0,20231231,204320,HL만도,0.0,0.0,0.0,0.0,0.0,0.0
59,0,0,0,0,0,0,0.0,20231231,060980,HL홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
60,0,0,0,0,0,0,0.0,20231231,011200,HMM,0.0,0.0,0.0,0.0,0.0,0.0
61,0,0,0,0,0,0,0.0,20231231,082740,HSD엔진,0.0,0.0,0.0,0.0,0.0,0.0
62,0,0,0,0,0,0,0.0,20231231,035000,HS애드,0.0,0.0,0.0,0.0,0.0,0.0
63,0,0,0,0,0,0,0.0,20231231,003560,IHQ,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0,0,0,0,0,0.0,20231231,175330,JB금융지주,0.0,0.0,0.0,0.0,0.0,0.0
65,0,0,0,0,0,0,0.0,20231231,234080,JW생명과학,0.0,0.0,0.0,0.0,0.0,0.0
66,0,0,0,0,0,0,0.0,20231231,001060,JW중외제약,0.0,0.0,0.0,0.0,0.0,0.0
67,0,0,0,0,0,0,0.0,20231231,001067,JW중외제약2우B,0.0,0.0,0.0,0.0,0.0,0.0
68,0,0,0,0,0,0,0.0,20231231,001065,JW중외제약우,0.0,0.0,0.0,0.0,0.0,0.0
69,0,0,0,0,0,0,0.0,20231231,096760,JW홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
70,0,0,0,0,0,0,0.0,20231231,105560,KB금융,0.0,0.0,0.0,0.0,0.0,0.0
71,0,0,0,0,0,0,0.0,20231231,002380,KCC,0.0,0.0,0.0,0.0,0.0,0.0
72,0,0,0,0,0,0,0.0,20231231,344820,KCC글라스,0.0,0.0,0.0,0.0,0.0,0.0
73,0,0,0,0,0,0,0.0,20231231,009070,KCTC,0.0,0.0,0.0,0.0,0.0,0.0
74,0,0,0,0,0,0,0.0,20231231,009440,KC그린홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
75,0,0,0,0,0,0,0.0,20231231,119650,KC코트렐,0.0,0.0,0.0,0.0,0.0,0.0
76,0,0,0,0,0,0,0.0,20231231,092220,KEC,0.0,0.0,0.0,0.0,0.0,0.0
77,0,0,0,0,0,0,0.0,20231231,003620,KG모빌리티,0.0,0.0,0.0,0.0,0.0,0.0
78,0,0,0,0,0,0,0.0,20231231,016380,KG스틸,0.0,0.0,0.0,0.0,0.0,0.0
79,0,0,0,0,0,0,0.0,20231231,001390,KG케미칼,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0,0,0,0,0,0.0,20231231,033180,KH 필룩스,0.0,0.0,0.0,0.0,0.0,0.0
81,0,0,0,0,0,0,0.0,20231231,015590,KIB플러그에너지,0.0,0.0,0.0,0.0,0.0,0.0
82,0,0,0,0,0,0,0.0,20231231,001940,KISCO홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
83,0,0,0,0,0,0,0.0,20231231,025000,KPX케미칼,0.0,0.0,0.0,0.0,0.0,0.0
84,0,0,0,0,0,0,0.0,20231231,092230,KPX홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
85,0,0,0,0,0,0,0.0,20231231,000040,KR모터스,0.0,0.0,0.0,0.0,0.0,0.0
